256;612.240769;643.335385;595.910769
512;2437.368077;2523.030769;2376.261538
768;5375.823846;5540.181538;5179.892308
1024;9542.725385;9701.990769;9311.326154
1280;14887.184231;15199.055385;14632.110769
1536;21479.544231;21625.529231;21302.870769
1792;29193.263077;29539.883077;28794.273846
2048;38220.757308;38678.883077;37500.461538
2304;48484.101154;49000.747692;46846.593846
2560;59979.809231;60931.098462;58837.449231
2816;72685.803846;73635.076923;71470.858462
3072;86386.546923;88154.667692;85546.870769
3328;101509.093846;103551.443077;99496.147692
3584;117005.383077;119110.790769;114145.421538
3840;135070.019231;137415.556923;132780.812308
4096;153044.622692;155006.566154;150922.175385
4352;172377.577692;174669.796923;169364.190769
4608;193305.278077;195369.153846;190824.670769
4864;215474.649615;218890.344615;212998.049231
5120;237614.301538;241305.316923;235949.172308
5376;262379.576154;266300.889231;260043.086154
5632;288389.290769;291246.492308;285347.735385
5888;314787.258077;317451.861538;310400.378462
6144;344558.441538;348492.021538;341045.680000
6400;372218.404231;375141.292308;370958.981538
6656;403449.999615;406084.212308;399839.233846
6912;435290.008077;439346.698462;429835.083077
7168;468466.592308;471253.880000;464875.040000
7424;502306.581923;506291.304615;500049.756923
7680;537596.218462;542881.793846;532622.676923
7936;573671.244231;578629.360000;569666.381538
8192;611341.852308;616139.501538;605223.236923
8448;649930.097308;657389.535385;645047.421538
8704;689943.278077;698524.920000;684805.356923
8960;732678.219231;741194.572308;727881.698462
9216;774843.123462;784032.221538;769505.153846
9472;819261.105385;830221.836923;810023.827692
9728;862561.351538;872368.483077;855939.667692
9984;908869.778077;918592.021538;902072.883077